Estado,Municipio,División,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,AGUASCALIENTES,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,ASIENTOS,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,CALVILLO,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,COSIO,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,EL LLANO,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,JESUS MARIA,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,PABELLON DE ARTEAGA,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,TEPEZALA,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA SUR,LA PAZ,BAJA CALIFORNIA SUR,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA SUR,LORETO,BAJA CALIFORNIA SUR,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA SUR,LOS CABOS,BAJA CALIFORNIA SUR,,,,,,,,,,,,,,,,,,,,,,
BAJA CALIFORNIA SUR,MULEGE,BAJA CALIFORNIA SUR,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE,CALAKMUL,PENINSULAR,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE,CALKINI,PENINSULAR,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE,CAMPECHE,PENINSULAR,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE,CANDELARIA,PENINSULAR,,,,,,,,,,,,,,,,,,,,,,
